ts,node,x,y,z,q,alg
2023-09-25T11:50:47.944Z,1347-3932-1592-420a,785,1752,100,21,2
2023-09-25T11:50:48.327Z,1347-3932-1592-420a,783,1750,100,20,2
2023-09-25T11:50:49.341Z,1347-3932-1592-420a,781,1743,100,22,2
2023-09-25T11:50:49.936Z,1347-3932-1592-420a,788,1735,100,21,2
2023-09-25T11:50:50.419Z,1347-3932-1592-420a,799,1729,100,24,2
2023-09-25T11:50:51.224Z,1347-3932-1592-420a,806,1729,100,13,2
2023-09-25T11:50:51.546Z,1347-3932-1592-420a,853,1687,100,31,2
2023-09-25T11:50:51.787Z,1347-3932-1592-420a,805,1720,100,11,2
2023-09-25T11:50:52.028Z,1347-3932-1592-420a,807,1718,100,11,2
2023-09-25T11:50:53.637Z,1347-3932-1592-420a,809,1719,100,7,2
2023-09-25T11:50:54.12Z,1347-3932-1592-420a,809,1721,100,12,2
2023-09-25T11:50:55.123Z,1347-3932-1592-420a,797,1734,100,23,2
2023-09-25T11:50:56.131Z,1347-3932-1592-420a,797,1760,100,7,2
2023-09-25T11:50:56.372Z,1347-3932-1592-420a,806,1735,100,9,2
2023-09-25T11:50:56.774Z,1347-3932-1592-420a,799,1730,100,28,2
2023-09-25T11:50:57.016Z,1347-3932-1592-420a,802,1720,100,31,2
2023-09-25T11:50:57.337Z,1347-3932-1592-420a,813,1721,100,33,2
2023-09-25T11:50:57.82Z,1347-3932-1592-420a,830,1705,100,36,2
2023-09-25T11:50:57.981Z,1347-3932-1592-420a,810,1727,100,33,2
2023-09-25T11:50:58.705Z,1347-3932-1592-420a,794,1743,100,45,2
2023-09-25T11:50:59.348Z,1347-3932-1592-420a,810,1715,100,4,2
2023-09-25T11:50:59.589Z,1347-3932-1592-420a,806,1714,100,16,2
2023-09-25T11:50:59.75Z,1347-3932-1592-420a,823,1702,100,21,2
2023-09-25T11:50:59.911Z,1347-3932-1592-420a,814,1711,100,13,2
2023-09-25T11:51:00.635Z,1347-3932-1592-420a,773,1744,100,29,2
2023-09-25T11:51:01.662Z,1347-3932-1592-420a,800,1699,100,12,2
2023-09-25T11:51:10.582Z,1347-3932-1592-420a,779,1700,100,6,2
2023-09-25T11:51:11.619Z,1347-3932-1592-420a,820,1694,100,9,2
2023-09-25T11:51:12.217Z,1347-3932-1592-420a,787,1728,100,11,2
2023-09-25T11:51:13.022Z,1347-3932-1592-420a,785,1720,100,9,2
2023-09-25T11:51:14.039Z,1347-3932-1592-420a,804,1714,100,10,2
2023-09-25T11:51:14.229Z,1347-3932-1592-420a,771,1722,100,14,2
2023-09-25T11:51:14.631Z,1347-3932-1592-420a,793,1727,100,2,2
2023-09-25T11:51:15.194Z,1347-3932-1592-420a,802,1707,100,5,2
